ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
1.180.103.215,1,983.0,19.0,Anomaly,0,No clear reason identified.
1.33.234.192,1,9304.0,10.0,Anomaly,30,High data transfer per request.
10.131.244.153,1,6772.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
10.177.167.222,1,6697.0,23.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
10.228.210.2,47,3512.851063829787,11.404255319148936,Anomaly,40,Unusually high request count.
10.35.252.211,1,5367.0,0.0,Anomaly,20,Unusual activity outside normal business hours.
100.188.98.246,1,5858.0,3.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
100.226.191.168,2,13550.0,19.5,Anomaly,70,Unusually high request count.; High data transfer per request.
101.6.68.70,1,7113.0,2.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
102.137.1.105,2,4257.0,16.0,Anomaly,40,Unusually high request count.
102.212.71.38,2,6797.0,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
102.80.95.109,2,6811.0,11.5,Anomaly,70,Unusually high request count.; High data transfer per request.
103.132.1.94,62,16152.274193548386,14.548387096774194,Anomaly,70,Unusually high request count.; High data transfer per request.
103.2.168.132,1,694.0,21.0,Anomaly,0,No clear reason identified.
103.202.73.208,1,909.0,3.0,Anomaly,20,Unusual activity outside normal business hours.
103.208.72.173,1,907.0,5.0,Anomaly,20,Unusual activity outside normal business hours.
103.92.15.74,1,903.0,23.0,Anomaly,20,Unusual activity outside normal business hours.
105.12.64.72,2,5626.0,17.5,Anomaly,40,Unusually high request count.
105.142.96.5,75,6033.453333333333,15.306666666666667,Anomaly,70,Unusually high request count.; High data transfer per request.
105.87.114.27,2,2782.5,5.5,Anomaly,60,Unusually high request count.; Unusual activity outside normal business hours.
105.99.227.146,1,6583.0,1.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
106.119.215.248,1,631557.0,20.0,Anomaly,30,High data transfer per request.
106.57.18.153,1,997.0,19.0,Anomaly,0,No clear reason identified.
107.47.81.85,2,3240.0,8.5,Anomaly,40,Unusually high request count.
108.123.103.129,2,6630.5,17.5,Anomaly,70,Unusually high request count.; High data transfer per request.
108.211.228.176,66,6129.363636363636,14.030303030303031,Anomaly,70,Unusually high request count.; High data transfer per request.
108.93.252.151,2,2572.0,14.0,Anomaly,40,Unusually high request count.
109.135.127.186,1,6322.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
109.204.128.232,59,6320.067796610169,14.728813559322035,Anomaly,70,Unusually high request count.; High data transfer per request.
11.148.137.128,109,6202.256880733945,13.036697247706423,Anomaly,70,Unusually high request count.; High data transfer per request.
110.104.236.144,67,6218.417910447762,13.64179104477612,Anomaly,70,Unusually high request count.; High data transfer per request.
111.167.91.41,1,5478.0,1.0,Anomaly,20,Unusual activity outside normal business hours.
111.55.169.136,61,6119.245901639344,14.426229508196721,Anomaly,70,Unusually high request count.; High data transfer per request.
112.150.2.246,1,7044.0,0.0,Anomaly,50,High data transfer per request.; Unusual activity outside normal business hours.
