ClientIP,ConfidenceScore,RealWorldRisk,Reason
1.180.103.215,0,No specific risk identified.,No clear reason identified.
1.33.234.192,30,Possible data exfiltration or large file download.,High data transfer per request.
10.131.244.153,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
10.177.167.222,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
10.228.210.2,40,Potential brute force attack or web scraping.,Unusually high request count.
10.35.252.211,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
100.188.98.246,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
100.226.191.168,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
101.6.68.70,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
102.137.1.105,40,Potential brute force attack or web scraping.,Unusually high request count.
102.212.71.38,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
102.80.95.109,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
103.132.1.94,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
103.2.168.132,0,No specific risk identified.,No clear reason identified.
103.202.73.208,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
103.208.72.173,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
103.92.15.74,20,Unusual activity during off-peak hours (potential bot activity).,Unusual activity outside normal business hours.
105.12.64.72,40,Potential brute force attack or web scraping.,Unusually high request count.
105.142.96.5,70,Potential brute force attack or web scraping.; Possible data exfiltration or large file download.,Unusually high request count.; High data transfer per request.
105.87.114.27,60,Potential brute force attack or web scraping.; Unusual activity during off-peak hours (potential bot activity).,Unusually high request count.; Unusual activity outside normal business hours.
105.99.227.146,50,Possible data exfiltration or large file download.; Unusual activity during off-peak hours (potential bot activity).,High data transfer per request.; Unusual activity outside normal business hours.
106.119.215.248,30,Possible data exfiltration or large file download.,High data transfer per request.
