ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly
1.113.40.143,1,2327.0,12.0,Normal
1.113.89.55,1,3459.0,21.0,Normal
1.119.56.243,1,3902.0,11.0,Normal
1.125.139.141,1,4104.0,21.0,Normal
1.125.164.22,1,3557.0,1.0,Normal
1.127.165.210,1,3989.0,18.0,Normal
1.13.77.91,1,4299.0,3.0,Normal
1.135.104.19,1,3935.0,20.0,Normal
1.137.60.123,1,4095.0,20.0,Normal
1.140.221.252,1,2358.0,12.0,Normal
1.143.121.171,1,2782.0,22.0,Normal
1.143.36.184,1,3204.0,13.0,Normal
1.147.111.76,1,3370.0,4.0,Normal
1.165.23.17,1,3885.0,0.0,Normal
1.17.188.141,1,2321.0,17.0,Normal
1.174.214.30,1,5530.0,11.0,Normal
1.176.111.220,1,3411.0,22.0,Normal
1.179.34.167,1,4292.0,1.0,Normal
1.18.22.187,1,3066.0,18.0,Normal
1.180.103.215,1,983.0,19.0,Anomaly
1.185.178.180,1,3436.0,18.0,Normal
1.187.163.32,1,4969.0,10.0,Normal
1.188.190.13,1,3750.0,5.0,Normal
1.191.222.103,1,5611.0,3.0,Normal
1.192.54.220,1,3548.0,19.0,Normal
1.197.149.223,1,2809.0,14.0,Normal
1.199.118.210,1,3267.0,19.0,Normal
1.205.19.185,1,3416.0,11.0,Normal
1.205.80.218,1,3710.0,11.0,Normal
1.208.115.171,1,3944.0,2.0,Normal
1.209.62.145,1,4146.0,10.0,Normal
1.21.189.70,1,3464.0,18.0,Normal
1.220.200.183,1,4099.0,18.0,Normal
1.235.140.60,1,4104.0,1.0,Normal
1.240.152.173,1,3281.0,13.0,Normal
1.246.152.35,1,4234.0,12.0,Normal
1.249.16.55,1,3418.0,13.0,Normal
1.25.162.180,1,5229.0,18.0,Normal
1.26.163.158,1,3279.0,13.0,Normal
1.30.93.88,1,4488.0,14.0,Normal
1.31.225.137,1,3872.0,19.0,Normal
1.33.234.192,1,9304.0,10.0,Anomaly
1.34.156.215,1,4072.0,0.0,Normal
1.36.194.142,1,2847.0,20.0,Normal
1.54.101.228,1,3414.0,18.0,Normal
1.64.16.232,1,3303.0,11.0,Normal
1.7.231.112,1,3437.0,1.0,Normal
1.72.172.221,1,2805.0,20.0,Normal
1.81.135.253,1,2807.0,21.0,Normal
1.84.157.164,1,3408.0,12.0,Normal
1.86.228.13,1,5213.0,5.0,Normal
1.95.80.181,1,3028.0,23.0,Normal
10.0.219.101,1,3187.0,15.0,Normal
10.10.157.91,1,3728.0,4.0,Normal
10.124.207.62,1,4068.0,14.0,Normal
10.131.244.153,1,6772.0,23.0,Anomaly
10.144.132.7,1,3019.0,1.0,Normal
10.149.238.172,1,3419.0,17.0,Normal
10.152.104.168,1,4076.0,0.0,Normal
10.153.69.30,1,4943.0,8.0,Normal
10.164.137.74,1,5518.0,20.0,Normal
10.166.6.164,1,2808.0,12.0,Normal
10.168.31.238,1,3912.0,1.0,Normal
10.170.131.97,1,3469.0,21.0,Normal
10.176.228.24,1,3778.0,17.0,Normal
10.177.167.222,1,6697.0,23.0,Anomaly
10.181.95.159,1,4289.0,11.0,Normal
10.182.218.251,1,2785.0,21.0,Normal
10.186.42.35,1,2780.0,16.0,Normal
10.194.99.70,1,3432.0,19.0,Normal
10.195.58.233,1,4051.0,20.0,Normal
10.200.251.255,1,2740.0,19.0,Normal
10.200.70.3,1,5168.0,23.0,Normal
10.201.123.121,1,2777.0,0.0,Normal
10.205.102.27,1,4934.0,3.0,Normal
10.208.54.218,1,3413.0,19.0,Normal
10.209.156.245,1,3918.0,1.0,Normal
10.213.97.48,1,4098.0,18.0,Normal
10.217.60.104,1,5456.0,13.0,Normal
10.221.144.111,1,4641.0,22.0,Normal
10.228.138.224,1,4240.0,22.0,Normal
10.228.210.2,47,3512.851063829787,11.404255319148936,Anomaly
10.237.129.67,1,4108.0,13.0,Normal
10.237.130.107,1,3435.0,14.0,Normal
10.239.170.15,1,4998.0,18.0,Normal
10.240.66.74,1,4040.0,22.0,Normal
10.242.116.212,1,4036.0,20.0,Normal
10.245.98.186,1,3921.0,0.0,Normal
10.26.37.105,1,3412.0,9.0,Normal
10.3.255.8,1,3251.0,17.0,Normal
