ClientIP,RequestCountByIP,AverageBytesByIP,Hour,ReconstructionError,Anomaly
1.113.40.143,1,2327.0,12.0,3.972011301724355e-07,Normal
1.113.89.55,1,3459.0,21.0,1.4863535628495467e-07,Normal
1.119.56.243,1,3902.0,11.0,1.6312763208259825e-07,Normal
1.125.139.141,1,4104.0,21.0,1.818942760402744e-07,Normal
1.125.164.22,1,3557.0,1.0,1.618605673606381e-07,Normal
1.127.165.210,1,3989.0,18.0,6.453016379258347e-07,Normal
1.13.77.91,1,4299.0,3.0,3.057854137233665e-07,Normal
1.135.104.19,1,3935.0,20.0,2.5864621654697347e-07,Normal
1.137.60.123,1,4095.0,20.0,2.683903148307835e-07,Normal
1.140.221.252,1,2358.0,12.0,3.867467178524902e-07,Normal
1.143.121.171,1,2782.0,22.0,2.174765252491842e-07,Normal
1.143.36.184,1,3204.0,13.0,2.3567113976765595e-07,Normal
1.147.111.76,1,3370.0,4.0,2.7782501548723973e-06,Anomaly
1.165.23.17,1,3885.0,0.0,7.003263031475902e-07,Normal
1.17.188.141,1,2321.0,17.0,1.0051588458091945e-06,Normal
1.174.214.30,1,5530.0,11.0,5.254521335918863e-07,Normal
1.176.111.220,1,3411.0,22.0,1.9316277760973654e-07,Normal
1.179.34.167,1,4292.0,1.0,2.2900444754762825e-07,Normal
1.18.22.187,1,3066.0,18.0,5.875569465752411e-07,Normal
1.180.103.215,1,983.0,19.0,1.183565463633448e-06,Normal
1.185.178.180,1,3436.0,18.0,5.859701414571897e-07,Normal
1.187.163.32,1,4969.0,10.0,4.1995674886558325e-07,Normal
1.188.190.13,1,3750.0,5.0,3.2084186972123094e-07,Normal
1.191.222.103,1,5611.0,3.0,6.487031296151149e-07,Normal
1.192.54.220,1,3548.0,19.0,2.538766577378433e-07,Normal
1.197.149.223,1,2809.0,14.0,3.944574986054371e-07,Normal
1.199.118.210,1,3267.0,19.0,2.8130921068055e-07,Normal
1.205.19.185,1,3416.0,11.0,1.7154484298684794e-07,Normal
1.205.80.218,1,3710.0,11.0,1.6000261650034563e-07,Normal
1.208.115.171,1,3944.0,2.0,1.829527151012109e-07,Normal
1.209.62.145,1,4146.0,10.0,2.659315337363891e-07,Normal
1.21.189.70,1,3464.0,18.0,5.871927301904516e-07,Normal
1.220.200.183,1,4099.0,18.0,6.659555620892213e-07,Normal
1.235.140.60,1,4104.0,1.0,1.96470959242353e-07,Normal
1.240.152.173,1,3281.0,13.0,2.25677852473867e-07,Normal
1.246.152.35,1,4234.0,12.0,1.6705744357414506e-07,Normal
1.249.16.55,1,3418.0,13.0,2.1128114549627459e-07,Normal
1.25.162.180,1,5229.0,18.0,1.0455093169750782e-06,Normal
1.26.163.158,1,3279.0,13.0,2.2591565900122254e-07,Normal
1.30.93.88,1,4488.0,14.0,2.2644196285036105e-07,Normal
1.31.225.137,1,3872.0,19.0,2.4481348591081905e-07,Normal
1.33.234.192,1,9304.0,10.0,3.7060768353160766e-06,Anomaly
1.34.156.215,1,4072.0,0.0,7.465744874661618e-07,Normal
1.36.194.142,1,2847.0,20.0,3.499024672112919e-07,Normal
1.54.101.228,1,3414.0,18.0,5.851737761831795e-07,Normal
1.64.16.232,1,3303.0,11.0,1.8126173476605097e-07,Normal
1.7.231.112,1,3437.0,1.0,1.662581967212117e-07,Normal
1.72.172.221,1,2805.0,20.0,3.589382032070391e-07,Normal
1.81.135.253,1,2807.0,21.0,2.1410471897758612e-07,Normal
1.84.157.164,1,3408.0,12.0,1.6413266014248795e-07,Normal
1.86.228.13,1,5213.0,5.0,6.212857219459363e-07,Normal
1.95.80.181,1,3028.0,23.0,2.7678065749706853e-06,Normal
10.0.219.101,1,3187.0,15.0,1.1009049022078072e-07,Normal
10.10.157.91,1,3728.0,4.0,2.537968525032276e-06,Normal
10.124.207.62,1,4068.0,14.0,2.004371383689993e-07,Normal
10.131.244.153,1,6772.0,23.0,3.2956374624915997e-06,Anomaly
10.144.132.7,1,3019.0,1.0,2.153254927226841e-07,Normal
10.149.238.172,1,3419.0,17.0,6.281342029233489e-07,Normal
10.152.104.168,1,4076.0,0.0,7.476626564319978e-07,Normal
10.153.69.30,1,4943.0,8.0,3.8723210749970235e-07,Normal
10.164.137.74,1,5518.0,20.0,6.136794017315052e-07,Normal
10.166.6.164,1,2808.0,12.0,2.6015044946661345e-07,Normal
10.168.31.238,1,3912.0,1.0,1.7413284110251838e-07,Normal
10.170.131.97,1,3469.0,21.0,1.4840258757493692e-07,Normal
10.176.228.24,1,3778.0,17.0,5.693215421366696e-07,Normal
10.177.167.222,1,6697.0,23.0,3.254142969416111e-06,Anomaly
10.181.95.159,1,4289.0,11.0,1.9492824087572185e-07,Normal
10.182.218.251,1,2785.0,21.0,2.1805532854890382e-07,Normal
10.186.42.35,1,2780.0,16.0,3.0374759952962866e-07,Normal
10.194.99.70,1,3432.0,19.0,2.6302612961849026e-07,Normal
10.195.58.233,1,4051.0,20.0,2.651272445976099e-07,Normal
10.200.251.255,1,2740.0,19.0,3.817679956778636e-07,Normal
10.200.70.3,1,5168.0,23.0,2.680658215767896e-06,Normal
10.201.123.121,1,2777.0,0.0,6.117792190114128e-07,Normal
10.205.102.27,1,4934.0,3.0,3.50677725061388e-07,Normal
10.208.54.218,1,3413.0,19.0,2.6480541749031074e-07,Normal
10.209.156.245,1,3918.0,1.0,1.7466112670275974e-07,Normal
10.213.97.48,1,4098.0,18.0,6.65723273700369e-07,Normal
10.217.60.104,1,5456.0,13.0,5.037476231982644e-07,Normal
10.221.144.111,1,4641.0,22.0,1.1728212144498544e-06,Normal
