ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
100.226.191.168,2,13550.0,19.5,Anomaly,70,Unusually high request count.; High data transfer per request.
102.212.71.38,2,6797.0,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
102.80.95.109,2,6811.0,11.5,Anomaly,70,Unusually high request count.; High data transfer per request.
103.132.1.94,62,16152.274193548386,14.548387096774194,Anomaly,70,Unusually high request count.; High data transfer per request.
105.142.96.5,75,6033.453333333333,15.306666666666667,Anomaly,70,Unusually high request count.; High data transfer per request.
108.123.103.129,2,6630.5,17.5,Anomaly,70,Unusually high request count.; High data transfer per request.
108.211.228.176,66,6129.363636363636,14.030303030303031,Anomaly,70,Unusually high request count.; High data transfer per request.
109.204.128.232,59,6320.067796610169,14.728813559322035,Anomaly,70,Unusually high request count.; High data transfer per request.
11.148.137.128,109,6202.256880733945,13.036697247706423,Anomaly,70,Unusually high request count.; High data transfer per request.
110.104.236.144,67,6218.417910447762,13.64179104477612,Anomaly,70,Unusually high request count.; High data transfer per request.
111.55.169.136,61,6119.245901639344,14.426229508196721,Anomaly,70,Unusually high request count.; High data transfer per request.
113.19.13.53,63,6282.015873015873,13.80952380952381,Anomaly,70,Unusually high request count.; High data transfer per request.
115.243.18.106,2,14037.0,9.0,Anomaly,70,Unusually high request count.; High data transfer per request.
116.254.36.200,67,6076.507462686567,15.64179104477612,Anomaly,70,Unusually high request count.; High data transfer per request.
117.197.1.242,7,24167.285714285714,10.285714285714286,Anomaly,70,Unusually high request count.; High data transfer per request.
117.200.193.5,105,6119.914285714286,13.361904761904762,Anomaly,70,Unusually high request count.; High data transfer per request.
118.20.187.50,62,15954.40322580645,12.838709677419354,Anomaly,70,Unusually high request count.; High data transfer per request.
121.150.57.141,3,16742.666666666668,11.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
123.147.31.210,79,6122.506329113924,12.620253164556962,Anomaly,70,Unusually high request count.; High data transfer per request.
125.227.246.131,116,6169.939655172414,12.939655172413794,Anomaly,70,Unusually high request count.; High data transfer per request.
128.103.139.186,98,6334.785714285715,13.520408163265307,Anomaly,70,Unusually high request count.; High data transfer per request.
128.3.125.57,92,6047.130434782609,13.01086956521739,Anomaly,70,Unusually high request count.; High data transfer per request.
128.40.28.16,7,24362.714285714286,9.571428571428571,Anomaly,70,Unusually high request count.; High data transfer per request.
129.113.136.61,2,6496.0,13.5,Anomaly,70,Unusually high request count.; High data transfer per request.
129.250.178.34,100,6055.26,12.9,Anomaly,70,Unusually high request count.; High data transfer per request.
129.53.13.62,114,6286.201754385965,13.412280701754385,Anomaly,70,Unusually high request count.; High data transfer per request.
129.80.215.116,2,6420.0,7.5,Anomaly,70,Unusually high request count.; High data transfer per request.
13.235.167.220,107,6175.177570093458,13.439252336448599,Anomaly,70,Unusually high request count.; High data transfer per request.
130.119.37.169,59,6065.64406779661,14.491525423728813,Anomaly,70,Unusually high request count.; High data transfer per request.
131.157.141.74,71,6399.183098591549,14.126760563380282,Anomaly,70,Unusually high request count.; High data transfer per request.
131.183.228.42,2,6569.5,7.5,Anomaly,70,Unusually high request count.; High data transfer per request.
132.107.158.218,105,6192.1809523809525,14.41904761904762,Anomaly,70,Unusually high request count.; High data transfer per request.
133.157.216.48,102,6298.558823529412,13.980392156862745,Anomaly,70,Unusually high request count.; High data transfer per request.
134.226.226.202,91,6271.857142857143,13.76923076923077,Anomaly,70,Unusually high request count.; High data transfer per request.
135.161.89.192,79,6226.569620253164,14.683544303797468,Anomaly,70,Unusually high request count.; High data transfer per request.
138.186.185.240,60,6398.8,15.65,Anomaly,70,Unusually high request count.; High data transfer per request.
139.88.106.5,71,6298.507042253521,14.154929577464788,Anomaly,70,Unusually high request count.; High data transfer per request.
14.219.202.71,59,6129.983050847458,14.94915254237288,Anomaly,70,Unusually high request count.; High data transfer per request.
14.227.188.198,61,6174.262295081967,14.426229508196721,Anomaly,70,Unusually high request count.; High data transfer per request.
141.148.116.60,68,6048.073529411765,14.558823529411764,Anomaly,70,Unusually high request count.; High data transfer per request.
141.49.101.217,3,10547.0,12.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
141.88.221.146,2,6588.0,0.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
141.93.137.16,2,5866.0,17.5,Anomaly,70,Unusually high request count.; High data transfer per request.
143.192.219.104,79,6374.898734177215,15.164556962025317,Anomaly,70,Unusually high request count.; High data transfer per request.
143.223.188.210,92,6097.380434782609,14.108695652173912,Anomaly,70,Unusually high request count.; High data transfer per request.
143.4.1.39,79,6305.708860759493,14.20253164556962,Anomaly,70,Unusually high request count.; High data transfer per request.
144.140.215.40,3,8831.333333333334,17.666666666666668,Anomaly,70,Unusually high request count.; High data transfer per request.
144.43.7.43,81,6322.592592592592,14.987654320987655,Anomaly,70,Unusually high request count.; High data transfer per request.
146.239.91.195,87,6327.505747126437,14.67816091954023,Anomaly,70,Unusually high request count.; High data transfer per request.
147.41.40.18,76,6128.565789473684,13.421052631578947,Anomaly,70,Unusually high request count.; High data transfer per request.
150.182.50.156,2,24605.5,10.0,Anomaly,70,Unusually high request count.; High data transfer per request.
154.194.118.163,12,24979.416666666668,16.5,Anomaly,70,Unusually high request count.; High data transfer per request.
154.244.130.33,82,6208.780487804878,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
157.226.241.234,108,6139.685185185185,13.24074074074074,Anomaly,70,Unusually high request count.; High data transfer per request.
158.240.206.108,70,6260.085714285714,13.314285714285715,Anomaly,70,Unusually high request count.; High data transfer per request.
159.147.102.107,103,6277.8932038834955,14.184466019417476,Anomaly,70,Unusually high request count.; High data transfer per request.
159.168.200.38,112,6031.5625,13.982142857142858,Anomaly,70,Unusually high request count.; High data transfer per request.
159.197.110.50,88,11279.102272727272,14.034090909090908,Anomaly,70,Unusually high request count.; High data transfer per request.
162.155.161.159,2,8068.5,15.0,Anomaly,70,Unusually high request count.; High data transfer per request.
164.96.142.64,5,135404.4,16.0,Anomaly,70,Unusually high request count.; High data transfer per request.
165.107.232.96,21,32849.95238095238,14.571428571428571,Anomaly,70,Unusually high request count.; High data transfer per request.
167.19.186.112,58,6110.310344827586,14.689655172413794,Anomaly,70,Unusually high request count.; High data transfer per request.
169.60.56.31,2,6065.5,11.0,Anomaly,70,Unusually high request count.; High data transfer per request.
171.40.165.112,96,6141.90625,12.552083333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
172.26.56.110,73,6169.575342465753,14.602739726027398,Anomaly,70,Unusually high request count.; High data transfer per request.
172.73.227.140,105,6366.72380952381,14.695238095238095,Anomaly,70,Unusually high request count.; High data transfer per request.
175.102.252.63,4,5744.25,15.0,Anomaly,70,Unusually high request count.; High data transfer per request.
178.176.31.6,59,6386.542372881356,14.423728813559322,Anomaly,70,Unusually high request count.; High data transfer per request.
179.11.123.206,57,6301.140350877193,14.105263157894736,Anomaly,70,Unusually high request count.; High data transfer per request.
179.181.145.163,2,6587.0,15.5,Anomaly,70,Unusually high request count.; High data transfer per request.
179.192.152.151,72,6537.208333333333,15.055555555555555,Anomaly,70,Unusually high request count.; High data transfer per request.
180.202.126.248,2,5761.5,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
181.213.103.91,51,5974.686274509804,15.509803921568627,Anomaly,70,Unusually high request count.; High data transfer per request.
181.37.150.112,70,6218.257142857143,13.371428571428572,Anomaly,70,Unusually high request count.; High data transfer per request.
185.24.37.122,115,6206.808695652174,13.486956521739131,Anomaly,70,Unusually high request count.; High data transfer per request.
185.60.226.17,68,6243.558823529412,12.955882352941176,Anomaly,70,Unusually high request count.; High data transfer per request.
187.109.49.123,62,6093.258064516129,14.274193548387096,Anomaly,70,Unusually high request count.; High data transfer per request.
187.58.154.169,96,6097.791666666667,12.614583333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
189.111.236.123,64,6433.171875,14.703125,Anomaly,70,Unusually high request count.; High data transfer per request.
189.69.74.46,67,6357.79104477612,14.626865671641792,Anomaly,70,Unusually high request count.; High data transfer per request.
19.143.51.102,89,6217.067415730337,13.865168539325843,Anomaly,70,Unusually high request count.; High data transfer per request.
190.212.52.36,66,6253.166666666667,11.378787878787879,Anomaly,70,Unusually high request count.; High data transfer per request.
192.19.249.147,112,6043.446428571428,14.116071428571429,Anomaly,70,Unusually high request count.; High data transfer per request.
192.88.206.163,87,18141.05747126437,13.379310344827585,Anomaly,70,Unusually high request count.; High data transfer per request.
193.134.220.249,95,6074.010526315789,13.76842105263158,Anomaly,70,Unusually high request count.; High data transfer per request.
193.206.235.29,33,10403.90909090909,14.090909090909092,Anomaly,70,Unusually high request count.; High data transfer per request.
195.171.155.166,110,6180.672727272728,14.49090909090909,Anomaly,70,Unusually high request count.; High data transfer per request.
196.9.231.148,87,5989.6781609195405,13.32183908045977,Anomaly,70,Unusually high request count.; High data transfer per request.
197.186.169.178,68,6255.75,15.838235294117647,Anomaly,70,Unusually high request count.; High data transfer per request.
197.225.62.134,3,6569.0,14.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
2.182.7.204,2,15142.5,20.5,Anomaly,70,Unusually high request count.; High data transfer per request.
20.186.223.8,66,6136.106060606061,14.651515151515152,Anomaly,70,Unusually high request count.; High data transfer per request.
202.206.239.71,99,6123.767676767677,12.696969696969697,Anomaly,70,Unusually high request count.; High data transfer per request.
205.90.91.175,2,6323.5,9.0,Anomaly,70,Unusually high request count.; High data transfer per request.
206.228.108.158,64,6230.15625,13.25,Anomaly,70,Unusually high request count.; High data transfer per request.
206.242.241.175,52,19357.365384615383,14.346153846153847,Anomaly,70,Unusually high request count.; High data transfer per request.
207.250.194.83,14,11926.285714285714,14.285714285714286,Anomaly,70,Unusually high request count.; High data transfer per request.
208.150.99.181,119,6099.714285714285,13.470588235294118,Anomaly,70,Unusually high request count.; High data transfer per request.
208.56.210.58,65,6172.030769230769,14.876923076923077,Anomaly,70,Unusually high request count.; High data transfer per request.
209.158.28.49,114,6201.131578947368,14.298245614035087,Anomaly,70,Unusually high request count.; High data transfer per request.
21.166.16.150,112,6077.919642857143,13.982142857142858,Anomaly,70,Unusually high request count.; High data transfer per request.
212.141.245.15,2,103063.0,11.5,Anomaly,70,Unusually high request count.; High data transfer per request.
212.195.103.225,69,6365.463768115942,14.347826086956522,Anomaly,70,Unusually high request count.; High data transfer per request.
212.38.130.214,58,6235.017241379311,13.086206896551724,Anomaly,70,Unusually high request count.; High data transfer per request.
215.173.246.58,98,6180.551020408163,13.785714285714286,Anomaly,70,Unusually high request count.; High data transfer per request.
215.72.87.11,64,6255.921875,15.453125,Anomaly,70,Unusually high request count.; High data transfer per request.
217.119.19.158,64,6254.40625,15.46875,Anomaly,70,Unusually high request count.; High data transfer per request.
218.213.82.77,3,5715.0,14.0,Anomaly,70,Unusually high request count.; High data transfer per request.
218.83.247.217,101,6276.316831683168,14.257425742574258,Anomaly,70,Unusually high request count.; High data transfer per request.
219.174.86.216,98,6137.5,14.285714285714286,Anomaly,70,Unusually high request count.; High data transfer per request.
219.65.150.78,49,6160.938775510204,14.551020408163266,Anomaly,70,Unusually high request count.; High data transfer per request.
221.112.50.103,102,6193.637254901961,13.882352941176471,Anomaly,70,Unusually high request count.; High data transfer per request.
222.181.221.87,62,6147.887096774193,13.887096774193548,Anomaly,70,Unusually high request count.; High data transfer per request.
222.30.33.183,114,6254.543859649123,14.342105263157896,Anomaly,70,Unusually high request count.; High data transfer per request.
23.159.246.188,103,6003.359223300971,14.21359223300971,Anomaly,70,Unusually high request count.; High data transfer per request.
23.210.101.63,5,5749.8,16.6,Anomaly,70,Unusually high request count.; High data transfer per request.
24.118.153.202,3,6732.333333333333,17.333333333333332,Anomaly,70,Unusually high request count.; High data transfer per request.
24.203.45.79,94,6199.553191489362,13.797872340425531,Anomaly,70,Unusually high request count.; High data transfer per request.
25.104.196.129,2,5987.0,16.0,Anomaly,70,Unusually high request count.; High data transfer per request.
25.80.51.61,50,6176.6,14.76,Anomaly,70,Unusually high request count.; High data transfer per request.
26.158.117.152,106,10633.188679245282,13.981132075471699,Anomaly,70,Unusually high request count.; High data transfer per request.
26.249.70.42,104,6201.961538461538,13.615384615384615,Anomaly,70,Unusually high request count.; High data transfer per request.
28.239.195.50,2,17380.0,19.0,Anomaly,70,Unusually high request count.; High data transfer per request.
28.75.189.25,75,16290.946666666667,14.293333333333333,Anomaly,70,Unusually high request count.; High data transfer per request.
29.134.230.139,67,6225.2835820895525,14.880597014925373,Anomaly,70,Unusually high request count.; High data transfer per request.
32.168.224.172,60,17600.166666666668,15.55,Anomaly,70,Unusually high request count.; High data transfer per request.
343f:c8a5:b86b:3356:b08b:8a14:9489:4a6b,2,7240.5,12.0,Anomaly,70,Unusually high request count.; High data transfer per request.
35.220.236.173,2,34594.5,17.5,Anomaly,70,Unusually high request count.; High data transfer per request.
35.96.80.127,66,6278.287878787879,12.93939393939394,Anomaly,70,Unusually high request count.; High data transfer per request.
38.90.38.169,82,6229.975609756098,13.682926829268293,Anomaly,70,Unusually high request count.; High data transfer per request.
40.21.63.83,2,13773.0,6.5,Anomaly,70,Unusually high request count.; High data transfer per request.
41.248.255.237,72,16875.027777777777,14.916666666666666,Anomaly,70,Unusually high request count.; High data transfer per request.
44.234.138.75,81,6408.753086419753,14.567901234567902,Anomaly,70,Unusually high request count.; High data transfer per request.
5.110.34.202,2,5817.0,11.0,Anomaly,70,Unusually high request count.; High data transfer per request.
5.220.16.161,75,6138.133333333333,14.266666666666667,Anomaly,70,Unusually high request count.; High data transfer per request.
50.67.69.13,3,7267.0,14.333333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
53.14.209.93,95,6079.315789473684,11.810526315789474,Anomaly,70,Unusually high request count.; High data transfer per request.
53.254.234.52,90,6244.511111111111,14.477777777777778,Anomaly,70,Unusually high request count.; High data transfer per request.
55.118.20.119,89,12953.865168539325,13.067415730337078,Anomaly,70,Unusually high request count.; High data transfer per request.
56.172.84.231,105,6139.523809523809,12.447619047619048,Anomaly,70,Unusually high request count.; High data transfer per request.
57.112.34.158,104,6296.153846153846,13.10576923076923,Anomaly,70,Unusually high request count.; High data transfer per request.
57.175.122.246,67,6163.328358208955,15.194029850746269,Anomaly,70,Unusually high request count.; High data transfer per request.
57.59.211.222,77,14899.688311688311,12.818181818181818,Anomaly,70,Unusually high request count.; High data transfer per request.
6.184.51.168,44,6049.363636363636,14.272727272727273,Anomaly,70,Unusually high request count.; High data transfer per request.
60.237.185.56,83,6432.903614457831,15.831325301204819,Anomaly,70,Unusually high request count.; High data transfer per request.
62.162.224.138,3,10852.666666666666,12.666666666666666,Anomaly,70,Unusually high request count.; High data transfer per request.
62.233.82.185,97,6280.742268041237,13.030927835051546,Anomaly,70,Unusually high request count.; High data transfer per request.
