ClientIP,RequestCountByIP,AverageBytesByIP,Hour,Anomaly,ConfidenceScore,Reason
182.176.64.44,6,3131.3333333333335,13.0,Anomaly,70,Unusually high request count.; High data transfer per request.
144.22.126.181,5,2693.8,13.0,Anomaly,70,Unusually high request count.; High data transfer per request.
24.203.45.79,6,2918.1666666666665,18.0,Anomaly,70,Unusually high request count.; High data transfer per request.
c16f:f49a:cdf4:7c73:bb8c:be16:e521:84ea,3,2291.0,19.0,Anomaly,70,Unusually high request count.; High data transfer per request.
202.130.100.163,7,3417.0,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
186.140.93.12,6,2995.5,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
96ce:e7b1:57e8:6efa:d52:5da8:8ee6:ee20,8,2395.5,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
8e1b:644e:4cad:9ccd:38f8:cd64:169:bcb2,6,3325.6666666666665,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
1de1:e430:6339:ee5d:9ee1:c3bf:8fd9:1089,7,2657.5714285714284,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
35.96.80.127,7,2152.0,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
7aaf:6457:8538:8197:e2fa:87ca:7f5c:750f,7,3826.4285714285716,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
110.104.236.144,6,3419.5,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
30bd:930a:a93b:666e:6446:3929:14cb:81e1,7,2831.4285714285716,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
192.19.249.147,4,3128.75,20.0,Anomaly,70,Unusually high request count.; High data transfer per request.
182.176.64.44,6,3433.5,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
192.88.206.163,5,3491.4,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
fa3e:9668:9d32:c0b0:98c8:7547:9f6e:f83f,8,2686.875,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
148.90.126.75,6,3331.0,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
46.16.90.85,6,3683.3333333333335,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
144.22.126.181,5,3519.2,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
63.118.177.184,6,3037.3333333333335,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
16.38.215.44,5,2315.0,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
46.16.90.85,6,3597.5,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
d9d:36c0:e7b6:a6d:c48e:ad9e:a661:e853,4,3679.25,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
175.74.74.112,6,2913.3333333333335,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
16.38.215.44,6,3360.8333333333335,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
60.237.185.56,4,3103.75,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
26.22.43.163,4,2692.0,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
209.98.11.76,6,2869.1666666666665,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
181.99.122.47,6,2708.1666666666665,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
116.254.36.200,7,3320.285714285714,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
59b3:7d5f:5dbe:23a6:c9cc:90a1:556f:11d7,5,3556.4,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
133.157.216.48,6,3887.0,21.0,Anomaly,70,Unusually high request count.; High data transfer per request.
78.239.133.192,3,9628.333333333334,5.666666666666667,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
79.204.155.139,80,6205.2125,13.575,Anomaly,70,Unusually high request count.; High data transfer per request.
8.22.220.208,58,6418.551724137931,13.758620689655173,Anomaly,70,Unusually high request count.; High data transfer per request.
8.84.119.17,100,6067.13,13.49,Anomaly,70,Unusually high request count.; High data transfer per request.
82.212.151.84,3,5905.666666666667,6.0,Anomaly,70,Unusually high request count.; High data transfer per request.
83.209.73.10,81,6249.222222222223,14.271604938271604,Anomaly,70,Unusually high request count.; High data transfer per request.
86.248.156.68,84,6222.380952380952,15.833333333333334,Anomaly,70,Unusually high request count.; High data transfer per request.
87.205.246.237,4,19746.25,11.25,Anomaly,70,Unusually high request count.; High data transfer per request.
88.190.191.62,75,6147.96,15.786666666666667,Anomaly,70,Unusually high request count.; High data transfer per request.
88.40.53.243,106,6072.981132075472,13.424528301886792,Anomaly,70,Unusually high request count.; High data transfer per request.
89.236.176.154,66,6210.30303030303,13.848484848484848,Anomaly,70,Unusually high request count.; High data transfer per request.
89.240.61.108,72,6204.333333333333,14.847222222222221,Anomaly,70,Unusually high request count.; High data transfer per request.
89.4.78.220,2,14572.5,12.5,Anomaly,70,Unusually high request count.; High data transfer per request.
90.178.50.209,52,6299.807692307692,13.788461538461538,Anomaly,70,Unusually high request count.; High data transfer per request.
93.224.123.232,52,6324.557692307692,13.73076923076923,Anomaly,70,Unusually high request count.; High data transfer per request.
95.130.38.51,86,14112.96511627907,12.430232558139535,Anomaly,70,Unusually high request count.; High data transfer per request.
96.152.27.237,100,6097.79,13.41,Anomaly,70,Unusually high request count.; High data transfer per request.
98.197.20.168,103,6196.194174757282,14.330097087378642,Anomaly,70,Unusually high request count.; High data transfer per request.
98.93.18.87,3,28078.666666666668,19.666666666666668,Anomaly,70,Unusually high request count.; High data transfer per request.
bc9:db5a:642a:59c9:c52a:a066:3738:4a5,2,6253.5,1.0,Anomaly,90,Unusually high request count.; High data transfer per request.; Unusual activity outside normal business hours.
91.28.165.177,5,2304.0,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
71.229.62.234,7,3582.285714285714,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
120.181.116.177,6,2938.5,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
163.203.134.192,6,3158.1666666666665,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
52.62.129.18,6,3237.3333333333335,22.0,Anomaly,70,Unusually high request count.; High data transfer per request.
